,0
0,Media audio
1, the car is running fine yeah 
2, mor det art the n car aux be S part run PRESP adv fine co yeah 
3, gra DET SU J UX ROOT JCT COM PUNCT
4, good oh good 
5, mor adj good co oh adj good 
6, gra INCROOT COM JCT PUNCT
7, okay phew 
8, mor co okay co phew 
9, gra COM INCROOT PUNCT
10, laughs it s always always an adventure with you hon 
11, mor pro per it cop be S adv always adv always det art a n adventure
12, prep with pro per you 
13, gra SU J ROOT JCT JCT DET PRED NJCT
14, PO J PUNCT
15, what 
16, mor pro int what 
17, gra INCROOT PUNCT
18, sorry xxx distorted 
19, mor co sorry 
20, gra INCROOT PUNCT
21, laughs no that s okay like I said in my letter 
22, mor co no pro dem that cop be S adj okay conj like pro sub I
23, v say P ST prep in det poss my n letter 
24, gra COM SU J ROOT PRED LINK SU J CJCT
25, JCT MOD PO J PUNCT
26, it s a roller coaster breathes 
27, mor pro per it cop be S det art a n roll dv GT co n aster 
28, gra SU J ROOT DET PRED XMOD PUNCT
29, so how are you doing 
30, mor adv so adv int how aux be PRES pro per you part do PRESP 
31, gra JCT LINK UX SU J ROOT PUNCT
32, I m good um it s cold today today is like the first day 
33, mor pro sub I cop be S adj good pro per it cop be S adv cold
34, adv tem today adv tem today cop be S co like det art the adj first
35, n day 
36, gra SU J ROOT PRED SU J CJCT JCT JCT
37, SU J PRED COM DET MOD PRED PUNCT
38, it s cold today here too 
39, mor pro per it cop be S adv cold adv tem today adv here post too 
40, gra SU J ROOT JCT PRED JCT PQ PUNCT
41, but it s been really chilly they were calling for it all week so I
42, was prepared for it you know I knew it was coming it didn t get me
43, down 
44, mor conj but pro per it cop be S cop be P STP adv real dadj LY
45, adj chill dn Y pro sub they aux be P ST part call PRESP prep for
46, pro per it adv all n week co so pro sub I aux be P ST S
47, part prepare P STP prep for pro per it pro per you v know pro sub I
48, v know P ST pro per it aux be P ST S part come PRESP pro per it
49, mod do P ST neg not v get pro obj me adv down 
50, gra LINK SU J ROOT UX JCT JCT SU J UX
51, PRED JCT MOD MOD PO J COM
52, SU J UX XJCT JCT PO J SU J
53, CJCT SU J COMP O J UX COMP
54, SU J UX NEG COMP O J JCT
55, PUNCT
56, sniff 
57, and I went out and did my walk this morning which felt great and
58, I ve had a sweatshirt on 
59, mor coord and pro sub I v go P ST adv out coord and v do P ST co my
60, n walk det dem this co morning pro rel which n felt adj great
61, coord and pro sub I aux have part have P STP det art a n sweatshirt
62, adv on 
63, gra LINK SU J ROOT JCT CONJ COORD COM
64, MOD COMP COM LINK MOD PRED LINK
65, SU J UX CMOD DET O J JCT
66, PUNCT
67, good 
68, mor adj good 
69, gra INCROOT PUNCT
70, smacks lips and then I came back here and 
71, mor coord and adv tem then pro sub I v come P ST adv back adv here
72, coord and 
73, gra LINK JCT SU J ROOT JCT JCT CONJ
74, PUNCT
75, I 
76, mor pro sub I 
77, gra INCROOT PUNCT
78, breathes 
79, finished working out while I watched cartoons which I haven t done
80, in a long time and breathes 
81, mor v finish P ST n gerund work PRESP adv out conj while pro sub I
82, v watch P ST n cartoon PL pro rel which pro sub I aux have neg not
83, part do P STP prep in det art a adj long n time coord and 
84, gra ROOT O J JCT LINK SU J MOD O J
85, LINK SU J UX NEG CMOD JCT
86, DET MOD PO J COORD PUNCT
87, right 
88, mor co right 
89, gra INCROOT PUNCT
90, and then I just cleaned I cleaned and cleaned 
91, mor coord and adv tem then pro sub I adv just part clean P STP
92, pro sub I v clean P ST coord and v clean P ST 
