,0
0,It adds to your salary but I mean for her it s it it s not like
1, merica you can go for a year I mean it s a real struggle to get a
2, masters in Israel 
3, long it really is it really is you know especially if you already
4, got a family 
5, you know because it s not like in the States when you do your 
6, and your masters and then you get married and then y you know what
7, I mean 
8, com background voice 
9, yep 
10, Exactly 
11, It s not that 
12, nd I didn t write a thesis for my masters 
13, yeah that s my problem also 
14, To apply to a doctorate I have to do an um ah thes distortion 
15, 
16, They 
17, w wait a minute 
18, nd so you mean they know you didn t do a thesis 
19, Well 
20, Well 
21, If if if I get accepted into a doctoral program they would want to
22, see my thesis and if they if they don t have a thesis you know what
23, am I going to do you know laughs distortion 
24, laughs Right oh I can t find it it s you know it s back in the
25, States laughs 
26, oh let s see I lost it laughs distortion 
27, So like you re on the xxx on to the doctorate and like you have to
28, do your masters and whatever you do your masters thesis on then you
29, just expand it to your doctorate 
30, It s like going backwards 
31, nd I think I have to do much because I m on the courses and stuff
32, it s like 
33, yeah 
34, yeah 
35, yep yep yep 
36, you know so uh it s not even you know a and plus you know look
37, at I m getting demoted anyway laughs you know I m just like it 
38, oh it this is so sad 
39, I know 
40, It s disgusting 
41, It really is 
42, oh because you were such a star 
43, I mean you were in the TESOL Quarterly and sigh 
44, Well eh look at look at Mechal it Mechal and I look at we do
45, banoni s heb I m in charge of the banonimi s heb kadmim s heb 
46, Yes 
47, you know which is about if you add up all the courses a litt a
48, third of the courses we are laughs you know 
49, right 
50, breath you know uh and and Mechal and I also do most of the
51, observations 
52, oh really 
53, that s the thing distorted 
54, yeah which xxx distorted is not 
55, You re too much 
56, That you know that would be a full time job 
57, yeah distorted 
58, we could bring up distorted yeah no 
59, that would be a full time job 
60, brings up unpleasant situations laughing sometime you know 
61, yeah 
62, when there s a problem they call us and you know because like we do
63, very 
64, thorough observations 
65, yeah 
66, you know and we back it up 
67, so you know it s like eh we ve you know we just made a a new book 
68, 
69, mm 
70, took us you know with Carol also two three years to do this
71, distortion 
72, I d love t I d love to see it 
73, It s it s good 
74, It s much harder than the other one background it s really ah 
75, mm 
76, I like it a lot of fossil because um you know Judy had just
77, started and instead of Olive you know so like she would she pasted
78, and cutted footnotes in the middle of the text 
79, com talking in background 
80, oy coughs 
81, you know it s just like xxx which we didn t even think of to check
82, for laughs 
83, oy oy 
84, but then that you know but then we thought then we thought that
85, we d fix the fossil and it was like making a whole new book 
86, right exactly 
87, so forget it you know 
88, right 
89, uh within two years we have to start on a new one anyway 
90, exactly 
91, So 
92, breath but everyone like like nursing it they all have their own
93, book kadm kadmim s heb 
94, yeah now they all have to have their own booklets and 
95, and they re okay 
96, I mean yach s heb hassid s heb 
97, well some are better than oth you know it s it s not like you know
98, Carol sort of made made everybody you know tow the line and because
99, she was an ah I don t know if she was head of amid s heb
100, kadmim s heb when you were there 
101, com background voices 
102, I think so 
103, yeah so she made she uh she demanded that every amid s heb
104, kadmim s heb course has to have a hovera s heb and it has to go
105, distorted through her 
106, Good and she looks okay 
107, Carol 
108, yeah 
109, yeah she s she s uh gallivanting somewhere I don t know oh really
110, laughs distorted 
111, nd she still you know she still involved with that you know
112, whatever it is Overeaters nonymous 
113, oh well she now um she will like the treasurer or something and
114, she s going all over the world 
115, good for her 
116, all over the world and she s in these speaking things and now like
117, her xxx is over but they want to keep her on like because she s such
118, a great speaker 
119, com speaker in background 
120, yeah she is yeah she is 
121, you know so she s like less time wise now but I think she s still
122, going to be hopping all over the world 
123, nd the husband s okay 
124, well high pitched you know xxx 
125, yeah you know 
126, he s going on a sabbatical he ll 
127, to 
128, i in um I think like half one semester ulgaria or something
129, insane and then then the other semester I think maybe the States 
130, oomph 
131, uhhuh and her kids must be old 
132, inhales um Nina distortion in a she s in the Far East and
133, she s back for a visit but she s been all like in she was in all you
134, know 
135, com background speaker 
136, yeah 
137, right 
138, yeah yeah 
139, Indonesia and all these laughing places and ustralia 
140, She s finding herself 
141, yeah 
142, and beautiful right 
143, huh yeah he son s distorted gorgeous the son eh he got d 
144, discharged from the army 
145, com background voice 
146, and the son too what about him yes 
147, because 
148, well you know xxx whatever he wants y you know distorted wh 
149, what s it called like when you re not 
150, suited wait I m xxx distortion 
151, oy like like 
152, but you know it s not it s not like it was like ten years ago 
153, a lot of people are getting out of the army 
154, it s not such a big xxx ut b Carol was upset 
155, I understand 
156, I mean 
157, because before the three years you mean 
158, oh yeah like he wa he I think after his basic training or
159, something he got out 
160, gasp ooh I mean because the on you know yes it is more you know
161, xxx the only problem is that you know when he goes to apply for a
162, job or something laughs 
163, yeah well that s what we were saying you know but inhales 
164, but hey what are you going to do 
165, we didn t want to you know what are we going to xxx distortion 
166, 
167, what are you going to do 
168, yeah in a big way distorted 
169, you ca you know you can t put yourself in her shoes I mean you
170, know you know who laughing knows what s going to happen 
171, xxx distortion 
172, like I would be I would be very upset but that s me you know I
173, don t know inhales So I would really keep working or something and
174, 
175, Right 
176, oy 
177, going to school I don t know he s distortion also finding himself
178, 
179, oy 
180, laughs 
181, laughs 
182, oh sweetheart you know it s such a big trip I just would love to
183, get there you know when I have my big vacation in the winter but who
184, knows 
185, why don t you come really 
186, who knows 
187, yeah I know and you know and I and I love his sister too I I will
188, try I will really try 
189, where where is this distorted 
190, inhales she lives in stable care 
191, oh 
192, end of the world but you know my daughter is starting college and
193, so whenever you have any criticism about your salary or anything
194, else when I tell you what it is costing us you just won t believe
195, me 
196, xxx distortion 
197, xxx distortion 
198, coughs 
199, I know you won t believe me 
200, oh I believe you coughs I believe distortion you 
201, com background singing 
202, you sure you believe me 
203, I wanted to go to the University of Rochester 
204, at that time and it wa a 
205, at that time distorted 
206, and at that time what was it five thousand dollars 
207, no it was much more it was like twelve thousand dollars 
208, okay 
209, it was like unbelievable and I told my parents you know forget it
210, I m not going I m not going to ask you know I m not going to get in
211, debt for the rest of my life and I don t want you to get in debt for
212, the rest of my life laughs I went to the University of uf 
213, Right 
214, Right right 
215, inhales you know it s like unbelievable 
216, yeah yeah 
217, it s the one saving grace that if I am still at Tel viv University
218, when my kids go to distorted university they go free 
219, exhale it is and y 
220, yep yep 
221, right and you know when when ever any you you know 
222, This was like a discussion of the whole of the whole year because
223, the applications and this and waiting inhales People 
224, Where s she going 
225, distorted 
226, She s going to University of Pennsylvania when people would come
227, over 
228, I I d be shy we d be undergrad Do you know what she could go to
229, Tel viv University for 
230, Do you know xxx buh buh buh buh 
231, laughs 
232, n and it s and it s an 
233, with everything all included 
234, it s just about thirty thousand a year 
235, We have two more kids 
236, Unbelievable distortion muffled 
237, I it s it s so mind boggling that it s not even funny 
238, She was an excellent student 
239, She had as a 
240, unbelievable distorted 
241, What is she studying 
242, ctually I don t think she really knows but she has all these P
243, credits 
244, She s going in as sophomore 
245, t least 
246, at least that 
247, oh xxx distortion 
248, but for my son I said hey 
249, you know who s a sophomore in high school I said hey you know 
250, don t think I m going to spend spend thirty thousand dollars to
251, send you to Syracuse 
252, I mean that s not going to happen so 
